"","Scleractinian_branching","Scleractinian_encrusting","Scleractinian_massive","Scleractinian_laminar","Scleractinian_solitary","Gorgonia","Black_coral","Hydroids","CCA","Cnidaria (non Scleractinian)","Sponges","Fleshy macroalgae","Crustose algae","Halimeda","Others"
"6_TUAMAK2_18",65.33,12,1.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUAMAK2_19",56,6.67,21.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_20",40,2.66,20,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_21",36,6.66,21.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_22",21.33,1.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_23",36,12,4,0,1.33,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_24",29.33,13.34,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_25",38.66,12,9.34,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_26",16,0,24,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_27",14.66,2.66,41.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_28",6.67,0,77.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_29",6.67,0,82.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUAMAK2_30",44,1.33,5.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUARAN1_1",6.67,0,13.33,0,0,0,0,0,8,0,0,32,0,0,0
"6_TUARAN1_2",10.66,0,5.34,0,0,0,0,0,22.67,0,0,21.33,0,0,0
"6_TUARAN1_3",18.66,0,0,0,0,0,0,0,10.67,0,0,26.67,0,0,0
"6_TUARAN1_4",10.67,0,10.67,0,0,0,0,0,10.67,0,2.67,9.34,0,0,0
"6_TUARAN1_5",18.67,0,6.67,0,0,0,0,0,16,0,0,18.67,0,0,0
"6_TUARAN1_6",8,0,16,0,0,0,0,0,20,0,0,17.33,0,0,0
"6_TUARAN1_7",4,0,2.67,0,0,0,0,0,18.67,0,0,14.67,0,0,0
"6_TUARAN1_8",6.67,0,5.33,0,0,0,0,0,26.67,0,0,25.33,0,0,1.33
"6_TUARAN1_9",29.33,0,10.66,0,0,0,0,0,9.33,0,2.67,18.67,0,0,0
"6_TUARAN1_10",14.67,0,10.67,0,0,0,0,0,12,0,0,29.34,0,0,0
"6_TUARAN1_11",8,0,16,0,0,0,0,0,4,0,0,28,0,0,0
"6_TUARAN1_12",2.67,0,6.66,0,0,0,0,0,12,0,0,58.67,0,0,0
"6_TUARAN1_13",20,0,9.33,0,0,0,0,0,9.33,0,2.67,29.33,0,0,0
"6_TUARAN1_14",16,0,2.67,0,0,0,0,0,9.33,0,0,34.67,0,0,0
"6_TUARAN1_15",10.67,0,5.33,0,0,0,0,0,8,0,0,32,0,0,0
"6_TUARAN1_16",6.66,0,2.67,0,0,0,0,0,20,0,0,37.33,0,0,0
"6_TUARAN1_17",4,0,1.33,0,0,0,0,0,13.33,0,0,58.67,0,0,0
"6_TUARAN1_18",8,0,5.33,0,0,0,0,0,22.66,0,0,34.66,0,0,0
"6_TUARAN1_19",16,0,0,0,0,0,0,0,13.33,0,0,57.33,0,0,0
"6_TUARAN1_20",17.34,0,0,0,0,0,0,0,20,0,4,36,0,0,0
"6_TUARAN1_21",17.33,0,8,0,0,0,0,0,13.33,0,0,44,0,0,0
"6_TUARAN1_22",12,0,0,0,0,0,0,0,13.33,0,1.33,61.33,0,0,0
"6_TUARAN1_23",12,0,0,0,0,0,0,0,37.33,0,1.33,36,0,0,0
"6_TUARAN1_24",26.66,0,4,0,0,0,0,0,13.34,0,0,38.67,0,0,0
"6_TUARAN1_25",9.33,0,4,0,0,0,0,0,12,0,1.33,48,0,1.33,0
"6_TUARAN1_26",26.66,0,1.33,0,0,0,0,0,14.67,0,2.67,33.33,0,0,0
"6_TUARAN1_27",10.67,0,2.67,0,0,0,0,0,12,0,0,64,0,0,0
"6_TUARAN1_28",12,0,1.33,0,0,0,0,0,14.67,0,1.33,53.33,0,0,0
"6_TUARAN1_29",10.67,0,2.67,0,0,0,0,0,8,0,0,40,0,0,0
"6_TUARAN1_30",5.33,0,2.67,0,0,0,0,0,9.33,0,0,41.34,0,0,0
"6_TUARAN2_1",9.33,0,1.33,0,0,0,0,0,81.33,0,0,1.33,0,0,0
"6_TUARAN2_2",0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0
"6_TUARAN2_3",5.33,4,2.67,0,0,0,0,0,37.33,0,0,0,0,0,0
"6_TUARAN2_4",17.33,0,0,0,0,0,0,0,10.67,0,0,0,0,0,1.33
"6_TUARAN2_5",1.33,0,0,0,0,0,0,0,12,0,0,0,0,4,0
"6_TUARAN2_6",4,0,1.33,0,0,0,0,0,21.33,0,0,0,0,0,0
"6_TUARAN2_7",12,0,0,0,0,0,0,0,21.33,0,0,0,0,0,0
"6_TUARAN2_8",4,0,0,0,0,0,0,0,12,0,0,8,0,0,0
"6_TUARAN2_9",4,0,2.67,0,0,0,0,0,21.33,0,0,10.67,0,0,0
"6_TUARAN2_10",16,10.67,1.33,0,0,0,0,0,20,0,0,2.67,0,0,0
"6_TUARAN2_11",17.33,1.33,4,0,0,0,0,0,14.67,0,0,6.67,1.33,0,0
"6_TUARAN2_12",13.33,0,4,0,0,0,0,0,68,0,1.33,2.67,0,0,0
"6_TUARAN2_13",20,0,0,0,0,0,0,0,13.33,0,0,5.33,0,0,1.33
"6_TUARAN2_14",10.67,0,1.33,0,0,0,0,0,14.67,0,0,12,0,0,0
"6_TUARAN2_15",24,0,0,0,0,0,0,0,0,0,0,32,0,0,0
"6_TUARAN2_16",6.67,16,0,0,0,0,0,0,12,0,0,36,0,0,0
"6_TUARAN2_17",10.67,0,0,0,0,0,0,0,16,0,0,10.67,0,0,0
"6_TUARAN2_18",9.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUARAN2_19",37.33,0,5.33,0,0,0,0,0,18.67,0,0,1.33,0,0,0
"6_TUARAN2_20",22.67,0,0,0,0,0,0,0,17.33,0,0,0,0,0,0
"6_TUARAN2_21",21.33,0,0,0,0,0,0,0,41.33,0,0,0,0,0,0
"6_TUARAN2_22",17.33,0,9.33,0,0,0,0,0,18.67,0,0,0,0,0,0
"6_TUARAN2_23",6.66,0,0,0,0,0,0,0,81.33,0,0,1.33,1.33,2.67,0
"6_TUARAN2_24",13.33,0,9.33,0,0,0,0,0,1.33,0,0,4,0,0,0
"6_TUARAN2_25",1.33,0,6.67,0,0,0,0,0,73.33,0,0,9.33,0,0,0
"6_TUARAN2_26",9.33,0,0,0,0,0,0,0,73.33,0,0,0,1.33,0,0
"6_TUARAN2_27",21.33,0,0,0,0,0,0,0,65.33,0,0,5.33,0,1.33,0
"6_TUARAN2_28",24,0,0,0,0,0,0,0,56,0,0,13.34,0,2.67,0
"6_TUARAN2_29",12,13.33,1.33,0,0,0,0,0,42.67,0,0,5.33,0,0,0
"6_TUARAN2_30",10.67,0,0,0,0,0,0,0,12,0,0,8,0,0,0
"6_TUARAR1_1",13.33,16,14.67,0,0,0,0,0,4,0,0,0,0,0,0
"6_TUARAR1_2",12,5.33,2.66,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUARAR1_3",21.33,22.67,6.66,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUARAR1_4",6.67,2.67,30.66,0,0,0,0,0,1.33,0,1.33,0,0,0,0
"6_TUARAR1_5",10.67,1.33,8,0,0,0,0,0,5.33,0,0,0,0,0,0
"6_TUARAR1_6",13.33,2.67,10.66,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUARAR1_7",0,17.33,16,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_TUARAR1_8",10.67,25.33,24,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_TUARAR1_9",4,38.67,13.33,0,0,0,0,0,4,0,0,0,0,0,0
"6_TUARAR1_10",12,4,47.99,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUARAR1_11",6.67,5.33,26.67,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_TUARAR1_12",8,9.34,24,0,0,0,0,0,13.33,0,0,0,0,0,0
"6_TUARAR1_13",18.67,9.33,12,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_TUARAR1_14",8,0,72,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUARAR1_15",28,2.67,4,0,0,0,0,0,2.67,0,0,1.33,0,0,0
"6_TUARAR1_16",9.33,0,18.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUARAR1_17",21.33,0,10.67,0,0,0,0,0,5.34,0,0,0,0,0,0
"6_TUARAR1_18",17.33,1.33,18.67,0,0,0,0,0,13.33,0,0,0,0,0,0
"6_TUARAR1_19",44,2.66,9.33,0,0,0,0,0,4,0,0,0,0,0,0
"6_TUARAR1_20",12,1.33,10.66,0,0,0,0,0,14.67,0,1.33,1.33,0,0,0
"6_TUARAR1_21",17.33,6.67,25.34,0,0,0,0,0,9.33,0,1.33,0,0,0,0
"6_TUARAR1_22",0,4,5.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUARAR1_23",6.67,1.33,53.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUARAR1_24",9.33,0,38.67,0,0,0,0,0,4,0,4,0,0,0,0
"6_TUARAR1_25",12,0,40,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUARAR1_26",6.67,1.33,33.34,0,0,0,0,0,2.67,0,1.33,0,0,0,0
"6_TUARAR1_27",8,0,45.34,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUARAR1_28",2.67,9.33,26.66,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_TUARAR1_29",17.33,0,3.99,0,0,0,0,0,4,0,1.33,0,0,0,0
"6_TUARAR1_30",4,0,30.67,0,0,0,0,0,5.33,0,0,0,0,0,0
"6_TUARAR2_1",1.33,0,6.67,0,0,0,0,0,4,0,0,0,0,0,0
"6_TUARAR2_2",4,0,4,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUARAR2_3",10.67,0,18.67,0,0,0,0,0,8,0,0,0,0,0,0
"6_TUARAR2_4",1.33,5.33,50.66,0,0,0,0,0,5.33,0,0,0,0,0,0
"6_TUARAR2_5",12,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"6_TUARAR2_6",9.33,0,5.34,0,0,0,0,0,16,0,1.33,0,0,0,0
"6_TUARAR2_7",30.67,1.33,5.33,0,0,0,0,0,22.67,0,0,0,0,0,0
"6_TUARAR2_8",13.33,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUARAR2_9",2.67,0,14.67,0,0,0,0,0,14.67,0,0,0,0,0,0
"6_TUARAR2_10",2.67,0,33.34,0,0,0,0,0,5.33,0,0,0,0,0,0
"6_TUARAR2_11",2.67,6.67,0,0,0,0,0,0,2.67,0,0,0,0,0,0
"6_TUARAR2_12",1.33,2.66,2.67,0,0,0,0,0,8,0,0,0,0,0,0
"6_TUARAR2_13",10.67,1.33,17.33,0,0,0,0,0,13.33,0,0,0,0,0,0
"6_TUARAR2_14",5.33,1.33,2.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUARAR2_15",17.33,16,1.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUARAR2_16",12,0,2.67,0,0,0,0,0,4,0,0,0,0,0,4
"6_TUARAR2_17",1.33,2.67,26.67,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUARAR2_18",2.67,8,20,0,0,0,0,0,4,0,0,0,0,0,0
"6_TUARAR2_19",8,0,1.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUARAR2_20",9.33,0,5.33,0,0,0,0,0,5.33,0,0,0,0,0,0
"6_TUARAR2_21",5.33,0,21.34,0,0,0,0,0,0,0,0,0,0,0,0
"6_TUARAR2_22",0,0,5.34,0,0,0,0,0,9.33,0,0,0,0,0,0
"6_TUARAR2_23",4,0,17.33,0,1.33,0,0,0,9.33,0,0,0,0,0,0
"6_TUARAR2_24",2.66,0,5.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUARAR2_25",22.67,0,2.66,0,0,0,0,0,4,0,0,0,0,0,0
"6_TUARAR2_26",8,0,4,0,0,0,0,0,6.67,0,0,0,0,0,0
"6_TUARAR2_27",6.67,0,0,0,1.33,0,0,0,9.33,0,0,0,0,0,0
"6_TUARAR2_28",1.33,0,4,0,0,0,0,0,13.33,0,0,0,0,0,0
"6_TUARAR2_29",5.33,0,5.33,0,0,0,0,0,5.33,0,0,0,0,0,0
"6_TUARAR2_30",8,0,4,0,0,0,0,0,1.33,0,0,0,0,0,0
"6_TUATIK1_1",34.67,1.33,0,0,0,0,0,0,0,0,0,2.67,0,9.33,0
"6_TUATIK1_2",62.67,0,0,0,0,0,0,0,0,0,0,0,0,22.67,0
"6_TUATIK1_3",60,0,4,0,0,0,0,0,0,0,0,0,0,14.67,0
"6_TUATIK1_4",52,0,1.33,0,0,0,0,0,0,0,0,0,0,20,0
"6_TUATIK1_5",29.33,0,4,0,0,0,0,0,0,0,0,0,0,30.67,0
"6_TUATIK1_6",34.66,0,0,0,0,0,0,0,0,0,0,0,0,22.67,0
"6_TUATIK1_7",36,0,1.33,0,0,0,0,0,0,0,0,0,0,24,0
"6_TUATIK1_8",57.33,0,2.67,0,0,0,0,0,0,0,0,0,0,10.67,0
"6_TUATIK1_9",32,1.33,0,0,0,0,0,0,0,0,0,0,0,26.67,0
"6_TUATIK1_10",49.33,0,2.67,0,0,0,0,0,0,0,0,0,0,13.33,0
"6_TUATIK1_11",48,0,2.66,0,0,0,0,0,0,0,0,0,1.33,21.33,0
"6_TUATIK1_12",37.33,0,0,0,0,0,0,0,0,0,0,0,0,28,0
"6_TUATIK1_13",52,0,5.33,0,0,0,0,0,0,0,0,1.33,0,12,0
"6_TUATIK1_14",22.67,0,1.33,0,0,0,0,0,0,0,0,6.67,0,9.33,0
"6_TUATIK1_15",54.67,0,1.33,0,0,0,0,0,0,0,0,0,0,12,0
"6_TUATIK1_16",34.66,0,2.67,0,0,0,0,0,0,0,0,2.67,0,10.67,0
"6_TUATIK1_17",32,0,4,0,0,0,0,0,0,0,0,0,0,28,0
"6_TUATIK1_18",38.67,1.33,2.67,0,0,0,0,0,0,0,0,0,0,18.67,0
"6_TUATIK1_19",37.33,0,4,0,0,0,0,0,0,0,0,0,0,12,0
"6_TUATIK1_20",50.67,0,1.33,0,0,0,0,0,1.33,0,0,0,0,12,0
"6_TUATIK1_21",45.33,0,6.67,0,0,0,0,0,0,0,0,0,0,9.33,0
"6_TUATIK1_22",29.33,1.33,5.33,0,0,0,0,0,0,0,1.33,0,0,25.33,0
"6_TUATIK1_23",45.33,0,0,0,0,0,0,0,0,0,0,0,0,21.33,0
"6_TUATIK1_24",26.67,0,5.33,0,0,0,0,0,0,0,0,0,0,14.67,0
"6_TUATIK1_25",21.33,0,11.99,0,0,0,0,0,0,0,0,0,4,38.67,0
"6_TUATIK1_26",56,0,4,0,0,0,0,0,0,0,0,0,0,9.33,0
"6_TUATIK1_27",41.33,0,2.66,0,0,0,0,0,0,0,0,0,0,24,0
"6_TUATIK1_28",56,0,1.33,0,0,0,0,0,0,0,0,0,0,16,0
"6_TUATIK1_29",49.34,0,5.33,0,0,0,0,0,0,0,0,0,0,13.33,0
"6_TUATIK1_30",34.67,0,1.33,0,0,0,0,0,1.33,0,0,0,0,17.33,0
"6_TUATIK2_1",21.33,0,14.66,0,0,0,0,0,6.66,0,0,13.33,0,0,1.33
"6_TUATIK2_2",20,1.33,8,0,0,0,0,0,1.33,0,0,28,0,0,0
"6_TUATIK2_3",13.33,4,4,0,0,0,0,0,2.67,0,0,40,0,0,0
"6_TUATIK2_4",24,0,6.66,0,0,0,0,0,2.67,0,0,36,0,0,0
"6_TUATIK2_5",34.66,10.67,6.66,0,0,0,0,0,0,0,0,17.33,0,0,0
"6_TUATIK2_6",29.33,2.67,2.66,0,0,0,0,0,0,0,0,37.33,0,0,0
"6_TUATIK2_7",21.33,0,12,0,0,0,0,0,4,0,0,14.67,0,0,0
"6_TUATIK2_8",22.67,0,11.99,0,0,0,0,0,0,0,0,9.33,0,0,0
"6_TUATIK2_9",9.33,0,9.33,0,0,0,0,0,0,0,0,24,0,0,0
"6_TUATIK2_10",28,0,12,0,0,0,0,0,2.66,0,0,33.33,0,0,0
"6_TUATIK2_11",24,1.33,7.99,0,0,0,0,0,2.67,0,0,30.67,0,0,0
"6_TUATIK2_12",41.33,5.33,4,0,0,0,0,0,10.67,0,0,14.67,0,0,0
"6_TUATIK2_13",13.33,0,16,0,0,0,0,0,1.33,0,0,38.67,0,0,0
"6_TUATIK2_14",36,0,12,0,0,0,0,0,1.33,0,0,13.33,0,0,0
"6_TUATIK2_15",41.33,1.33,8,0,0,0,0,0,2.67,0,0,14.67,0,0,0
"6_TUATIK2_16",48,0,9.33,0,0,0,0,0,5.33,0,0,1.33,0,0,0
"6_TUATIK2_17",36,6.67,10.66,0,0,0,0,0,0,0,0,26.67,0,0,0
"6_TUATIK2_18",14.67,5.33,21.32,0,0,0,0,0,6.67,0,0,16,0,0,0
"6_TUATIK2_19",40,9.33,6.66,0,0,0,0,0,10.67,0,0,8,0,0,0
"6_TUATIK2_20",22.66,0,10.66,0,1.33,0,0,0,0,0,0,20,0,0,0
"6_TUATIK2_21",29.33,2.67,16,0,0,0,0,0,0,0,0,22.67,0,0,0
"6_TUATIK2_22",25.33,0,11.99,0,0,0,0,0,0,0,0,28,0,0,0
"6_TUATIK2_23",30.67,2.67,14.66,0,0,0,0,0,0,0,0,20,0,0,0
"6_TUATIK2_24",25.33,1.33,4,0,1.33,0,0,0,0,0,0,20,0,0,0
"6_TUATIK2_25",12,5.33,14.66,0,0,0,0,0,5.33,0,0,29.33,0,0,0
"6_TUATIK2_26",36,0,6.66,0,2.67,0,0,0,0,0,0,22.67,0,0,0
"6_TUATIK2_27",38.67,2.67,9.34,0,0,0,0,0,1.33,0,0,16,0,0,0
"6_TUATIK2_28",40,1.33,10.67,0,0,0,0,0,1.33,0,0,14.66,0,0,0
"6_TUATIK2_29",25.33,2.67,25.33,0,0,0,0,0,0,0,0,22.67,0,0,0
"6_TUATIK2_30",29.33,1.33,5.33,0,0,0,0,0,0,0,0,13.33,0,0,0
"20_GAMMAN1_1",5.33,0,6.67,0,2.67,0,0,0,1.33,0,0,0,0,0,0
"20_GAMMAN1_2",1.33,2.67,28,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_GAMMAN1_3",1.33,0,9.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_GAMMAN1_4",9.33,2.66,0,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_GAMMAN1_5",1.33,1.33,16,0,1.33,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN1_6",1.33,2.66,5.33,0,0,0,0,0,4,0,0,0,0,0,0
"20_GAMMAN1_7",14.67,1.33,18.67,0,0,0,0,0,0,0,0,0,0,0,1.33
"20_GAMMAN1_8",0,5.34,6.66,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_GAMMAN1_9",0,1.33,34.65,0,0,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN1_10",10.67,2.67,20,0,0,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN1_11",10.67,0,2.67,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_GAMMAN1_12",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN1_13",4,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN1_14",0,1.33,12,0,0,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN1_15",0,2.66,4,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_GAMMAN1_16",1.33,1.33,6.66,0,0,0,0,0,2.67,0,0,0,0,0,0
"20_GAMMAN1_17",26.67,2.66,19.99,0,0,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN1_18",2.67,1.33,10.67,2.67,0,0,0,0,1.33,0,0,0,0,0,0
"20_GAMMAN1_19",8,0,17.33,0,0,0,0,0,2.67,0,0,0,0,0,0
"20_GAMMAN1_20",2.67,1.33,40,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_GAMMAN1_21",1.33,0,22.66,0,1.33,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN1_22",8,0,69.33,0,0,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN1_23",0,1.33,14.66,0,0,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN1_24",4,4,6.67,0,1.33,0,0,0,4,0,1.33,0,0,0,0
"20_GAMMAN1_25",0,0,62.67,0,0,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN1_26",2.66,1.33,6.67,0,0,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN1_27",12,1.33,1.33,0,0,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN1_28",1.33,4,18.66,0,0,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN1_29",2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN1_30",1.33,0,17.33,0,0,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN2_1",8,10.67,5.33,2.67,0,0,0,0,5.33,0,0,2.66,0,0,0
"20_GAMMAN2_2",31.99,9.33,13.33,2.67,2.67,0,0,0,9.33,0,0,0,0,6.67,0
"20_GAMMAN2_3",21.33,5.33,21.34,0,0,0,0,0,4,0,0,0,0,0,1.33
"20_GAMMAN2_4",17.33,13.33,14.66,2.67,4,0,0,0,13.33,0,0,0,0,6.67,0
"20_GAMMAN2_5",8,5.33,5.33,0,0,0,0,0,9.33,0,0,0,0,1.33,0
"20_GAMMAN2_6",13.33,4,1.33,0,2.67,0,0,0,16,0,0,0,0,13.33,0
"20_GAMMAN2_7",13.34,9.34,2.66,0,1.33,0,0,0,16,0,0,0,0,0,0
"20_GAMMAN2_8",12,2.67,18.66,0,1.33,0,0,0,14.67,0,0,0,0,2.67,0
"20_GAMMAN2_9",38.66,1.33,11.99,0,0,0,0,0,12,0,0,0,0,0,0
"20_GAMMAN2_10",22.67,5.33,2.66,0,2.67,0,0,0,24,0,0,0,0,2.67,0
"20_GAMMAN2_11",8,14.66,10.66,0,0,0,0,0,8,0,0,0,0,0,0
"20_GAMMAN2_12",65.33,0,1.33,0,0,0,0,0,4,0,0,0,0,4,0
"20_GAMMAN2_13",10.67,4,16,0,0,0,0,0,18.67,0,0,0,0,0,0
"20_GAMMAN2_14",9.33,12.01,21.34,0,0,0,0,0,10.67,0,0,0,0,0,0
"20_GAMMAN2_15",23.99,8,8,0,6.66,0,0,0,8,0,0,0,0,2.67,0
"20_GAMMAN2_16",14.67,16,13.32,0,1.33,0,0,0,6.67,0,0,0,0,2.67,0
"20_GAMMAN2_17",41.34,8,6.66,0,0,0,0,0,10.67,0,0,0,0,1.33,0
"20_GAMMAN2_18",48,4,17.33,0,0,0,0,0,5.33,0,0,0,0,1.33,0
"20_GAMMAN2_19",50.67,2.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0
"20_GAMMAN2_20",18.66,6.67,40,0,1.33,0,0,0,10.67,0,0,0,0,0,0
"20_GAMMAN2_21",1.33,0,24,0,1.33,0,0,0,4,0,0,0,0,0,0
"20_GAMMAN2_22",20,4,1.33,0,0,0,0,0,5.33,0,0,5.33,0,4,0
"20_GAMMAN2_23",32,0,26.67,0,0,0,0,0,2.67,0,0,0,0,20,0
"20_GAMMAN2_24",45.33,10.67,9.34,0,2.66,0,0,0,5.33,0,0,4,0,0,0
"20_GAMMAN2_25",13.33,1.33,0,0,0,0,0,0,6.67,0,0,0,0,2.67,0
"20_GAMMAN2_26",32,5.33,8,0,0,0,0,0,5.33,0,0,0,0,9.33,0
"20_GAMMAN2_27",38.67,0,15.99,0,0,0,0,0,8,0,0,0,0,1.33,0
"20_GAMMAN2_28",22.67,4,4,0,0,0,0,0,9.33,0,0,0,0,1.33,0
"20_GAMMAN2_29",14.67,9.32,0,0,0,0,0,0,13.33,0,0,0,0,8,0
"20_GAMMAN2_30",81.33,1.33,0,0,0,0,0,0,5.33,0,0,0,0,0,0
"20_SOCBOR1_1",41.33,2.67,9.33,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_2",26.66,5.33,20,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_3",37.33,6.66,4,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_SOCBOR1_4",54.66,1.33,0,4,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_5",54.66,4,9.34,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_6",20,2.67,2.66,0,0,0,0,0,1.33,0,1.33,0,0,1.33,0
"20_SOCBOR1_7",36,2.67,5.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_SOCBOR1_8",17.33,1.33,9.33,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_9",46.67,8,5.34,0,0,0,0,0,1.33,0,0,2.67,0,0,0
"20_SOCBOR1_10",33.34,4,5.33,0,0,0,0,0,4,0,0,0,0,0,0
"20_SOCBOR1_11",58.66,1.33,6.66,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_12",30.67,2.66,16,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_13",34.67,0,2.67,0,1.33,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_14",42.66,2.66,5.33,0,0,0,0,0,0,1.33,1.33,0,0,0,0
"20_SOCBOR1_15",30.67,5.33,4,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_16",22.67,2.67,13.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_SOCBOR1_17",40,2.66,6.67,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_18",28,2.67,2.67,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_SOCBOR1_19",41.33,1.33,5.33,0,0,0,0,0,1.33,0,0,0,0,0,0
"20_SOCBOR1_20",37.33,4,9.33,0,0,0,0,0,0,0,0,0,0,0,1.33
"20_SOCBOR1_21",46.67,2.66,6.67,0,0,0,0,0,5.33,0,1.33,0,0,0,0
"20_SOCBOR1_22",36,1.33,3.99,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_23",48,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_24",25.33,5.34,18.67,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_25",42.67,4,8,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_26",26.67,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_27",25.33,5.33,5.33,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_28",13.33,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"20_SOCBOR1_29",26.67,12,5.33,0,0,0,0,0,4,0,0,0,0,0,0
"20_SOCBOR1_30",40,0,4,0,0,0,0,0,1.33,0,0,0,0,1.33,0
"20_SOCBOR2_1",33.33,1.33,6.66,0,0,0,0,0,0,0,0,0,0,10.67,0
"20_SOCBOR2_2",48,2.67,6.67,0,0,0,0,0,0,0,1.33,0,0,0,0
"20_SOCBOR2_3",52,6.66,0,0,0,0,0,0,4,0,1.33,0,0,4,0
"20_SOCBOR2_4",29.33,5.33,0,0,1.33,0,0,0,0,0,1.33,0,0,1.33,0
"20_SOCBOR2_5",31.99,2.67,2.67,0,0,0,0,0,0,0,0,0,0,1.33,0
"20_SOCBOR2_6",38.67,8,0,0,0,0,0,0,2.67,0,0,0,0,2.67,0
